"",Sun,11/03/2013,,Mon,11/04/2013,Tue,11/05/2013,,Wed,11/06/2013,Thu,11/07/2013,Fri,11/08/2013,,Sat,11/09/2013,
"",ROAD,N,S,ROAD,N S,ROAD,N,S,ROAD,N S,ROAD,N S,ROAD,N,S,ROAD,N,S
00:00,,,,,,,,,254,254,326,326,,,,,,
01:00,,,,,,,,,137,137,197,197,,,,,,
02:00,,,,,,,,,60,60,86,86,,,,,,
03:00,,,,,,,,,61,61,66,66,,,,,,
04:00,,,,,,,,,223,223,222,222,,,,,,
05:00,,,,,,,,,405,405,445,445,,,,,,
06:00,,,,,,,,,494,494,541,541,,,,,,
07:00,,,,,,,,,502,502,592,592,,,,,,
08:00,,,,,,,,,409,409,443,443,,,,,,
09:00,,,,,,,,,356,356,430,430,,,,,,
10:00,,,,,,,,,365,365,414,414,,,,,,
11:00,,,,,,,,,418,418,438,438,,,,,,
12:00,,,,,,,,,487,487,503,503,,,,,,
13:00,,,,,,,,,539,539,577,577,,,,,,
14:00,,,,,,,,,682,682,682,682,,,,,,
15:00,,,,,,,,,651,651,681,681,,,,,,
16:00,,,,,,,,,644,644,655,655,,,,,,
17:00,,,,,,,,,622,622,618,618,,,,,,
18:00,,,,,,,,,520,520,530,530,,,,,,
19:00,,,,,,,,,546,546,626,626,,,,,,
20:00,,,,,,,,,462,462,574,574,,,,,,
21:00,,,,,,,,,459,459,564,564,,,,,,
22:00,,,,,,,,,476,476,553,553,,,,,,
23:00,,,,,,,,,432,432,533,533,,,,,,
Volume,,,,,,,,,"10,204","10,204","11,296","11,296",,,,,,
AM Peak Vol,,,,,,,,,502,502,592,592,,,,,,
AM Peak Fct,,,,,,,,,0.94,0.94,0.92,0.92,,,,,,
AM Peak Hr,,,,,,,,,6:45,6:45,7:00,7:00,,,,,,
PM Peak Vol,,,,,,,,,690,690,703,703,,,,,,
PM Peak Fct,,,,,,,,,0.94,0.94,0.89,0.89,,,,,,
PM Peak Hr,,,,,,,,,14:45,14:45,14:45,14:45,,,,,,
Seasonal Fct,,,,,,,,,0.998,0.998,0.998,0.998,,,,,,
Daily Fct,,,,,,,,,0.868,0.868,1.035,1.035,,,,,,
Axle Fct,,,,,,,,,0.494,0.494,0.494,0.494,,,,,,
Pulse Fct,,,,,,,,,2.000,2.000,2.000,2.000,,,,,,
