"",Sun,11/03/2013,Mon,11/04/2013,Tue,11/05/2013,Wed,11/06/2013,,Thu,11/07/2013,,Fri,11/08/2013,,Sat,11/09/2013,
"",ROAD,W E,ROAD,W E,ROAD,W E,ROAD,W E,,ROAD,W E,,ROAD,W,E,ROAD,W,E
00:00,,,,,,,66,66,,73,73,,,,,,,
01:00,,,,,,,55,55,,67,67,,,,,,,
02:00,,,,,,,38,38,,38,38,,,,,,,
03:00,,,,,,,25,25,,39,39,,,,,,,
04:00,,,,,,,40,40,,23,23,,,,,,,
05:00,,,,,,,38,38,,48,48,,,,,,,
06:00,,,,,,,64,64,,59,59,,,,,,,
07:00,,,,,,,137,137,,126,126,,,,,,,
08:00,,,,,,,211,211,,213,213,,,,,,,
09:00,,,,,,,228,228,,177,177,,,,,,,
10:00,,,,,,,212,212,,151,151,,,,,,,
11:00,,,,,,,177,177,,172,172,,,,,,,
12:00,,,,,,,169,169,,197,197,,,,,,,
13:00,,,,,,,198,198,,171,171,,,,,,,
14:00,,,,,,,197,197,,149,149,,,,,,,
15:00,,,,,,,214,214,,182,182,,,,,,,
16:00,,,,,,,284,284,,253,253,,,,,,,
17:00,,,,,,,293,293,,268,268,,,,,,,
18:00,,,,,,,285,285,,293,293,,,,,,,
19:00,,,,,,,231,231,,227,227,,,,,,,
20:00,,,,,,,213,213,,155,155,,,,,,,
21:00,,,,,,,147,147,,141,141,,,,,,,
22:00,,,,,,,127,127,,122,122,,,,,,,
23:00,,,,,,,92,92,,99,99,,,,,,,
Volume,,,,,,,"3,741","3,741",,"3,443","3,443",,,,,,,
AM Peak Vol,,,,,,,250,250,,213,213,,,,,,,
AM Peak Fct,,,,,,,0.91,0.91,,0.63,0.63,,,,,,,
AM Peak Hr,,,,,,,9:15,9:15,,8:00,8:00,,,,,,,
PM Peak Vol,,,,,,,329,329,,295,295,,,,,,,
PM Peak Fct,,,,,,,0.81,0.81,,0.88,0.88,,,,,,,
PM Peak Hr,,,,,,,17:15,17:15,,17:15,17:15,,,,,,,
Seasonal Fct,,,,,,,0.998,0.998,,0.998,0.998,,,,,,,
Daily Fct,,,,,,,0.868,0.868,,1.035,1.035,,,,,,,
Axle Fct,,,,,,,0.494,0.494,,0.494,0.494,,,,,,,
Pulse Fct,,,,,,,2.000,2.000,,2.000,2.000,,,,,,,
