"",Sun,11/03/2013,,Mon,11/04/2013,Tue,11/05/2013,,Wed,11/06/2013,,Thu,11/07/2013,,Fri,11/08/2013,,Sat,11/09/2013,
"",ROAD,N,S,ROAD,N S,ROAD,N,S,ROAD,N S,,ROAD,N S,,ROAD,N,S,ROAD,N,S
00:00,,,,,,,,,59,59,,71,71,,,,,,,
01:00,,,,,,,,,23,23,,34,34,,,,,,,
02:00,,,,,,,,,31,31,,28,28,,,,,,,
03:00,,,,,,,,,10,10,,12,12,,,,,,,
04:00,,,,,,,,,21,21,,16,16,,,,,,,
05:00,,,,,,,,,24,24,,27,27,,,,,,,
06:00,,,,,,,,,27,27,,28,28,,,,,,,
07:00,,,,,,,,,43,43,,58,58,,,,,,,
08:00,,,,,,,,,51,51,,82,82,,,,,,,
09:00,,,,,,,,,44,44,,70,70,,,,,,,
10:00,,,,,,,,,51,51,,62,62,,,,,,,
11:00,,,,,,,,,54,54,,49,49,,,,,,,
12:00,,,,,,,,,66,66,,56,56,,,,,,,
13:00,,,,,,,,,58,58,,52,52,,,,,,,
14:00,,,,,,,,,80,80,,112,112,,,,,,,
15:00,,,,,,,,,83,83,,67,67,,,,,,,
16:00,,,,,,,,,109,109,,96,96,,,,,,,
17:00,,,,,,,,,82,82,,82,82,,,,,,,
18:00,,,,,,,,,68,68,,70,70,,,,,,,
19:00,,,,,,,,,78,78,,78,78,,,,,,,
20:00,,,,,,,,,55,55,,78,78,,,,,,,
21:00,,,,,,,,,60,60,,56,56,,,,,,,
22:00,,,,,,,,,60,60,,79,79,,,,,,,
23:00,,,,,,,,,50,50,,71,71,,,,,,,
Volume,,,,,,,,,"1,287","1,287",,"1,434","1,434",,,,,,,
AM Peak Vol,,,,,,,,,59,59,,91,91,,,,,,,
AM Peak Fct,,,,,,,,,0.57,0.57,,0.69,0.69,,,,,,,
AM Peak Hr,,,,,,,,,,,,8:15,8:15,,,,,,,
PM Peak Vol,,,,,,,,,117,117,,113,113,,,,,,,
PM Peak Fct,,,,,,,,,0.65,0.65,,0.76,0.76,,,,,,,
PM Peak Hr,,,,,,,,,15:45,15:45,,16:15,16:15,,,,,,,
Seasonal Fct,,,,,,,,,0.998,0.998,,0.998,0.998,,,,,,,
Daily Fct,,,,,,,,,0.868,0.868,,1.035,1.035,,,,,,,
Axle Fct,,,,,,,,,0.494,0.494,,0.494,0.494,,,,,,,
Pulse Fct,,,,,,,,,2.000,2.000,,2.000,2.000,,,,,,,
