"",Sun,11/03/2013,Mon,11/04/2013,Tue,11/05/2013,Wed,11/06/2013,Thu,11/07/2013,Fri,11/08/2013,,Sat,11/09/2013,
"",ROAD,S N,ROAD,S N,ROAD,S N,ROAD,S N,ROAD,S N,ROAD,S N,,ROAD,S,N
00:00,,,,,,,,,453,453,553,553,,,,
01:00,,,,,,,,,300,300,371,371,,,,
02:00,,,,,,,,,280,280,298,298,,,,
03:00,,,,,,,,,251,251,269,269,,,,
04:00,,,,,,,,,482,482,367,367,,,,
05:00,,,,,,,,,942,942,979,979,,,,
06:00,,,,,,,,,"1,759","1,759","1,703","1,703",,,,
07:00,,,,,,,,,"2,649","2,649","2,336","2,336",,,,
08:00,,,,,,,,,"2,306","2,306","2,147","2,147",,,,
09:00,,,,,,,,,"1,810","1,810","1,741","1,741",,,,
10:00,,,,,,,,,"1,477","1,477","1,508","1,508",,,,
11:00,,,,,,,,,"1,545","1,545","1,524","1,524",,,,
12:00,,,,,,,"1,646","1,646","1,622","1,622",,,,,,
13:00,,,,,,,"1,694","1,694","1,772","1,772",,,,,,
14:00,,,,,,,"1,971","1,971","1,960","1,960",,,,,,
15:00,,,,,,,"2,208","2,208","2,106","2,106",,,,,,
16:00,,,,,,,"2,272","2,272","2,218","2,218",,,,,,
17:00,,,,,,,"2,217","2,217","2,155","2,155",,,,,,
18:00,,,,,,,"1,825","1,825","1,792","1,792",,,,,,
19:00,,,,,,,"1,493","1,493","1,543","1,543",,,,,,
20:00,,,,,,,"1,298","1,298","1,371","1,371",,,,,,
21:00,,,,,,,"1,115","1,115","1,223","1,223",,,,,,
22:00,,,,,,,882,882,927,927,,,,,,
23:00,,,,,,,668,668,711,711,,,,,,
Volume,,,,,,,"19,289","19,289","33,654","33,654","13,796","13,796",,,,
AM Peak Vol,,,,,,,,,"2,711","2,711","2,364","2,364",,,,
AM Peak Fct,,,,,,,,,0.96,0.96,0.94,0.94,,,,
AM Peak Hr,,,,,,,,,7:15,7:15,7:15,7:15,,,,
PM Peak Vol,,,,,,,"2,290","2,290","2,294","2,294",,,,,,
PM Peak Fct,,,,,,,0.98,0.98,0.96,0.96,,,,,,
PM Peak Hr,,,,,,,16:15,16:15,15:45,15:45,,,,,,
Seasonal Fct,,,,,,,0.998,0.998,0.998,0.998,0.998,0.998,,,,
Daily Fct,,,,,,,0.868,0.868,1.035,1.035,0.922,0.922,,,,
Axle Fct,,,,,,,0.494,0.494,0.494,0.494,0.494,0.494,,,,
Pulse Fct,,,,,,,2.000,2.000,2.000,2.000,2.000,2.000,,,,
