"",Sun,11/03/2013,Mon,11/04/2013,Tue,11/05/2013,Wed,11/06/2013,Thu,11/07/2013,Fri,11/08/2013,Sat,11/09/2013,
"",ROAD,E W,ROAD,E W,ROAD,E W,ROAD,E W,ROAD,E W,ROAD,E W,ROAD,E,W
00:00,,,,,,,240,240,194,194,,,,,
01:00,,,,,,,136,136,146,146,,,,,
02:00,,,,,,,96,96,77,77,,,,,
03:00,,,,,,,101,101,73,73,,,,,
04:00,,,,,,,125,125,98,98,,,,,
05:00,,,,,,,125,125,191,191,,,,,
06:00,,,,,,,350,350,343,343,,,,,
07:00,,,,,,,519,519,495,495,,,,,
08:00,,,,,,,781,781,733,733,,,,,
09:00,,,,,,,"1,043","1,043",671,671,,,,,
10:00,,,,,,,578,578,491,491,,,,,
11:00,,,,,,,539,539,457,457,,,,,
12:00,,,,,,,576,576,576,576,,,,,
13:00,,,,,,,662,662,619,619,,,,,
14:00,,,,,,,720,720,647,647,,,,,
15:00,,,,,720,720,882,882,,,,,,,
16:00,,,,,865,865,857,857,,,,,,,
17:00,,,,,778,778,747,747,,,,,,,
18:00,,,,,623,623,661,661,,,,,,,
19:00,,,,,525,525,520,520,,,,,,,
20:00,,,,,506,506,504,504,,,,,,,
21:00,,,,,417,417,420,420,,,,,,,
22:00,,,,,388,388,337,337,,,,,,,
23:00,,,,,294,294,297,297,,,,,,,
Volume,,,,,"5,116","5,116","11,816","11,816","5,811","5,811",,,,,
AM Peak Vol,,,,,,,"1,043","1,043",733,733,,,,,
AM Peak Fct,,,,,,,0.94,0.94,0.93,0.93,,,,,
AM Peak Hr,,,,,,,9:00,9:00,8:00,8:00,,,,,
PM Peak Vol,,,,,,,935,935,,,,,,,
PM Peak Fct,,,,,,,0.93,0.93,,,,,,,
PM Peak Hr,,,,,,,15:30,15:30,,,,,,,
Seasonal Fct,,,,,0.998,0.998,0.998,0.998,0.998,0.998,,,,,
Daily Fct,,,,,0.854,0.854,0.868,0.868,1.035,1.035,,,,,
Axle Fct,,,,,0.494,0.494,0.494,0.494,0.494,0.494,,,,,
Pulse Fct,,,,,2.000,2.000,2.000,2.000,2.000,2.000,,,,,
