"",Sun,11/03/2013,,Mon,11/04/2013,Tue,11/05/2013,,Wed,11/06/2013,Thu,11/07/2013,Fri,11/08/2013,,Sat,11/09/2013,
"",ROAD,N,S,ROAD,N S,ROAD,N,S,ROAD,N S,ROAD,N S,ROAD,N,S,ROAD,N,S
00:00,,,,,,,,,126,126,141,141,,,,,,
01:00,,,,,,,,,70,70,90,90,,,,,,
02:00,,,,,,,,,36,36,53,53,,,,,,
03:00,,,,,,,,,58,58,60,60,,,,,,
04:00,,,,,,,,,160,160,164,164,,,,,,
05:00,,,,,,,,,257,257,253,253,,,,,,
06:00,,,,,,,,,334,334,353,353,,,,,,
07:00,,,,,,,,,491,491,470,470,,,,,,
08:00,,,,,,,,,422,422,448,448,,,,,,
09:00,,,,,,,,,352,352,401,401,,,,,,
10:00,,,,,,,,,375,375,404,404,,,,,,
11:00,,,,,,,,,420,420,400,400,,,,,,
12:00,,,,,,,,,438,438,422,422,,,,,,
13:00,,,,,,,,,496,496,509,509,,,,,,
14:00,,,,,,,,,513,513,506,506,,,,,,
15:00,,,,,,,,,499,499,468,468,,,,,,
16:00,,,,,,,,,559,559,542,542,,,,,,
17:00,,,,,,,,,522,522,516,516,,,,,,
18:00,,,,,,,,,480,480,490,490,,,,,,
19:00,,,,,,,,,445,445,455,455,,,,,,
20:00,,,,,,,,,323,323,389,389,,,,,,
21:00,,,,,,,,,270,270,325,325,,,,,,
22:00,,,,,,,,,267,267,297,297,,,,,,
23:00,,,,,,,,,235,235,253,253,,,,,,
Volume,,,,,,,,,"8,148","8,148","8,409","8,409",,,,,,
AM Peak Vol,,,,,,,,,491,491,492,492,,,,,,
AM Peak Fct,,,,,,,,,0.92,0.92,0.90,0.90,,,,,,
AM Peak Hr,,,,,,,,,7:00,7:00,7:15,7:15,,,,,,
PM Peak Vol,,,,,,,,,576,576,553,553,,,,,,
PM Peak Fct,,,,,,,,,0.86,0.86,0.91,0.91,,,,,,
PM Peak Hr,,,,,,,,,16:15,16:15,16:30,16:30,,,,,,
Seasonal Fct,,,,,,,,,0.998,0.998,0.998,0.998,,,,,,
Daily Fct,,,,,,,,,0.868,0.868,1.035,1.035,,,,,,
Axle Fct,,,,,,,,,0.494,0.494,0.494,0.494,,,,,,
Pulse Fct,,,,,,,,,2.000,2.000,2.000,2.000,,,,,,
