"",Sun,11/10/2013,Mon,11/11/2013,Tue,11/12/2013,Wed,11/13/2013,,Thu,11/14/2013,,Fri,11/15/2013,,Sat,11/16/2013,
"",ROAD,S N,ROAD,S N,ROAD,S N,ROAD,S N,,ROAD,S N,,ROAD,S,N,ROAD,S,N
00:00,,,,,,,4,4,,2,2,,,,,,,
01:00,,,,,,,0,0,,1,1,,,,,,,
02:00,,,,,,,2,2,,1,1,,,,,,,
03:00,,,,,,,3,3,,2,2,,,,,,,
04:00,,,,,,,0,0,,2,2,,,,,,,
05:00,,,,,,,0,0,,6,6,,,,,,,
06:00,,,,,,,8,8,,2,2,,,,,,,
07:00,,,,,,,4,4,,8,8,,,,,,,
08:00,,,,,,,7,7,,4,4,,,,,,,
09:00,,,,,,,18,18,,7,7,,,,,,,
10:00,,,,,,,12,12,,24,24,,,,,,,
11:00,,,,,,,13,13,,24,24,,,,,,,
12:00,,,,,,,23,23,,19,19,,,,,,,
13:00,,,,,,,15,15,,18,18,,,,,,,
14:00,,,,,,,12,12,,18,18,,,,,,,
15:00,,,,,,,15,15,,11,11,,,,,,,
16:00,,,,,,,13,13,,16,16,,,,,,,
17:00,,,,,,,12,12,,20,20,,,,,,,
18:00,,,,,,,14,14,,10,10,,,,,,,
19:00,,,,,,,11,11,,7,7,,,,,,,
20:00,,,,,,,15,15,,13,13,,,,,,,
21:00,,,,,,,2,2,,8,8,,,,,,,
22:00,,,,,,,7,7,,1,1,,,,,,,
23:00,,,,,,,3,3,,3,3,,,,,,,
Volume,,,,,,,213,213,,227,227,,,,,,,
AM Peak Vol,,,,,,,18,18,,24,24,,,,,,,
AM Peak Fct,,,,,,,0.64,0.64,,0.67,0.67,,,,,,,
AM Peak Hr,,,,,,,9:00,9:00,,10:00,10:00,,,,,,,
PM Peak Vol,,,,,,,23,23,,20,20,,,,,,,
PM Peak Fct,,,,,,,0.72,0.72,,0.56,0.56,,,,,,,
PM Peak Hr,,,,,,,12:00,12:00,,13:45,13:45,,,,,,,
Seasonal Fct,,,,,,,0.998,0.998,,0.998,0.998,,,,,,,
Daily Fct,,,,,,,0.868,0.868,,1.035,1.035,,,,,,,
Axle Fct,,,,,,,0.494,0.494,,0.494,0.494,,,,,,,
Pulse Fct,,,,,,,2.000,2.000,,2.000,2.000,,,,,,,
