Time,SB Hourly,1-WAY Hourly,Time,SB Hourly,1-WAY Hourly
0:00-1:00,33,33,0:00-1:00,59,59
1:00-2:00,33,33,1:00-2:00,34,34
2:00-3:00,31,31,2:00-3:00,39,39
3:00-4:00,57,57,3:00-4:00,43,43
4:00-5:00,57,57,4:00-5:00,56,56
5:00-6:00,102,102,5:00-6:00,90,90
6:00-7:00,119,119,6:00-7:00,131,131
7:00-8:00,176,176,7:00-8:00,192,192
8:00-9:00,197,197,8:00-9:00,190,190
9:00-10:00,153,153,9:00-10:00,156,156
10:00-11:00,168,168,10:00-11:00,187,187
11:00-12:00,169,169,11:00-12:00,187,187
12:00-13:00,188,188,12:00-13:00,196,196
13:00-14:00,224,224,13:00-14:00,221,221
14:00-15:00,217,217,14:00-15:00,236,236
15:00-16:00,232,232,15:00-16:00,188,188
16:00-17:00,205,205,16:00-17:00,221,221
17:00-18:00,140,140,17:00-18:00,138,138
18:00-19:00,102,102,18:00-19:00,119,119
19:00-20:00,91,91,19:00-20:00,89,89
20:00-21:00,103,103,20:00-21:00,93,93
21:00-22:00,93,93,21:00-22:00,92,92
22:00-23:00,123,123,22:00-23:00,102,102
23:00-24:00,54,54,23:00-24:00,67,67
Count Total,"3,067","3,067",Count Total,"3,126","3,126"
"",07:45-08:45,07:45-08:45,,07:30-08:30,07:30-08:30
AM Peak,,,AM Peak,,
"",215,215,,222,222
"",13:30-14:30,13:30-14:30,,13:45-14:45,13:45-14:45
Mid Peak,,,Mid Peak,,
"",228,228,,228,228
"",15:00-16:00,15:00-16:00,,16:00-17:00,16:00-17:00
PM Peak,,,PM Peak,,
"",232,232,,221,221
"",Peak Hour Starts Between
Period,Begin End
AM,6:00 9:00
MID,9:15 14:45
PM,15:00 18:00
