"",Sun,12/01/2013,Mon,12/02/2013,Tue,12/03/2013,Wed,12/04/2013,Thu,12/05/2013,Fri,12/06/2013,,Sat,12/07/2013,
"",ROAD,S N,ROAD,S N,ROAD,S N,ROAD,S N,ROAD,S N,ROAD,S,N,ROAD,S,N
00:00,,,,,319,319,309,309,,,,,,,,
01:00,,,,,139,139,130,130,,,,,,,,
02:00,,,,,133,133,129,129,,,,,,,,
03:00,,,,,90,90,89,89,,,,,,,,
04:00,,,,,303,303,304,304,,,,,,,,
05:00,,,,,681,681,676,676,,,,,,,,
06:00,,,,,633,633,624,624,,,,,,,,
07:00,,,,,554,554,550,550,,,,,,,,
08:00,,,,,421,421,436,436,,,,,,,,
09:00,,,,,466,466,444,444,,,,,,,,
10:00,,,,,364,364,402,402,,,,,,,,
11:00,,,,,581,581,490,490,,,,,,,,
12:00,,,605,605,553,553,,,,,,,,,,
13:00,,,765,765,762,762,,,,,,,,,,
14:00,,,800,800,888,888,,,,,,,,,,
15:00,,,873,873,975,975,,,,,,,,,,
16:00,,,807,807,"1,051","1,051",,,,,,,,,,
17:00,,,883,883,934,934,,,,,,,,,,
18:00,,,658,658,720,720,,,,,,,,,,
19:00,,,632,632,745,745,,,,,,,,,,
20:00,,,507,507,673,673,,,,,,,,,,
21:00,,,444,444,589,589,,,,,,,,,,
22:00,,,411,411,552,552,,,,,,,,,,
23:00,,,370,370,375,375,,,,,,,,,,
Volume,,,"7,755","7,755","13,501","13,501","4,583","4,583",,,,,,,,
AM Peak Vol,,,,,681,681,676,676,,,,,,,,
AM Peak Fct,,,,,0.94,0.94,0.94,0.94,,,,,,,,
AM Peak Hr,,,,,5:00,5:00,5:00,5:00,,,,,,,,
PM Peak Vol,,,919,919,"1,071","1,071",,,,,,,,,,
PM Peak Fct,,,0.90,0.90,0.84,0.84,,,,,,,,,,
PM Peak Hr,,,15:15,15:15,16:15,16:15,,,,,,,,,,
Seasonal Fct,,,1.047,1.047,1.047,1.047,1.047,1.047,,,,,,,,
Daily Fct,,,0.979,0.979,0.972,0.972,0.881,0.881,,,,,,,,
Axle Fct,,,0.488,0.488,0.488,0.488,0.488,0.488,,,,,,,,
Pulse Fct,,,2.000,2.000,2.000,2.000,2.000,2.000,,,,,,,,
