"",Sun,12/01/2013,,Mon,12/02/2013,Tue,12/03/2013,,Wed,12/04/2013,Thu,12/05/2013,Fri,12/06/2013,,Sat,12/07/2013,
"",ROAD,N,S,ROAD,N S,ROAD,N S,,ROAD,N S,ROAD,N S,ROAD,N,S,ROAD,N,S
00:00,,,,,,253,253,,235,235,,,,,,,,
01:00,,,,,,241,241,,254,254,,,,,,,,
02:00,,,,,,92,92,,89,89,,,,,,,,
03:00,,,,,,83,83,,45,45,,,,,,,,
04:00,,,,,,72,72,,55,55,,,,,,,,
05:00,,,,,,213,213,,183,183,,,,,,,,
06:00,,,,,,487,487,,316,316,,,,,,,,
07:00,,,,,,519,519,,436,436,,,,,,,,
08:00,,,,,,482,482,,439,439,,,,,,,,
09:00,,,,,,407,407,,367,367,,,,,,,,
10:00,,,,,,381,381,,302,302,,,,,,,,
11:00,,,,,,409,409,,381,381,,,,,,,,
12:00,,,,,,506,506,,447,447,,,,,,,,
13:00,,,,,,533,533,,531,531,,,,,,,,
14:00,,,,,,655,655,,590,590,,,,,,,,
15:00,,,,,,686,686,,665,665,,,,,,,,
16:00,,,,,,698,698,,681,681,,,,,,,,
17:00,,,,,,729,729,,664,664,,,,,,,,
18:00,,,,,,716,716,,650,650,,,,,,,,
19:00,,,,,,500,500,,514,514,,,,,,,,
20:00,,,,,,558,558,,540,540,,,,,,,,
21:00,,,,,,514,514,,441,441,,,,,,,,
22:00,,,,,,413,413,,336,336,,,,,,,,
23:00,,,,,,356,356,,419,419,,,,,,,,
Volume,,,,,,"10,503","10,503",,"9,580","9,580",,,,,,,,
AM Peak Vol,,,,,,552,552,,461,461,,,,,,,,
AM Peak Fct,,,,,,0.97,0.97,,0.89,0.89,,,,,,,,
AM Peak Hr,,,,,,7:15,7:15,,7:15,7:15,,,,,,,,
PM Peak Vol,,,,,,755,755,,707,707,,,,,,,,
PM Peak Fct,,,,,,0.93,0.93,,0.88,0.88,,,,,,,,
PM Peak Hr,,,,,,16:45,16:45,,17:30,17:30,,,,,,,,
Seasonal Fct,,,,,,1.047,1.047,,1.047,1.047,,,,,,,,
Daily Fct,,,,,,0.972,0.972,,0.881,0.881,,,,,,,,
Axle Fct,,,,,,0.488,0.488,,0.488,0.488,,,,,,,,
Pulse Fct,,,,,,2.000,2.000,,2.000,2.000,,,,,,,,
