"",Sun,11/03/2013,Mon,11/04/2013,Tue,11/05/2013,,Wed,11/06/2013,,Thu,11/07/2013,Fri,11/08/2013,,Sat,11/09/2013,
"",ROAD,S N,ROAD,S N,ROAD,S N,,ROAD,S N,,ROAD,S N,ROAD,S,N,ROAD,S,N
00:00,,,,,26,26,,48,48,,,,,,,,,
01:00,,,,,20,20,,21,21,,,,,,,,,
02:00,,,,,7,7,,10,10,,,,,,,,,
03:00,,,,,6,6,,5,5,,,,,,,,,
04:00,,,,,25,25,,26,26,,,,,,,,,
05:00,,,,,66,66,,72,72,,,,,,,,,
06:00,,,,,118,118,,124,124,,,,,,,,,
07:00,,,,,132,132,,126,126,,,,,,,,,
08:00,,,,,144,144,,124,124,,,,,,,,,
09:00,,,,,90,90,,84,84,,,,,,,,,
10:00,,,,,85,85,,82,82,,,,,,,,,
11:00,,,,,112,112,,111,111,,,,,,,,,
12:00,,,,,107,107,,123,123,,,,,,,,,
13:00,,,,,114,114,,108,108,,,,,,,,,
14:00,,,,,157,157,,138,138,,,,,,,,,
15:00,,,,,118,118,,131,131,,,,,,,,,
16:00,,,,,106,106,,144,144,,,,,,,,,
17:00,,,,,110,110,,128,128,,,,,,,,,
18:00,,,,,123,123,,105,105,,,,,,,,,
19:00,,,,,126,126,,119,119,,,,,,,,,
20:00,,,,,103,103,,99,99,,,,,,,,,
21:00,,,,,92,92,,79,79,,,,,,,,,
22:00,,,,,75,75,,71,71,,,,,,,,,
23:00,,,,,50,50,,71,71,,,,,,,,,
Volume,,,,,"2,112","2,112",,"2,149","2,149",,,,,,,,,
AM Peak Vol,,,,,147,147,,135,135,,,,,,,,,
AM Peak Fct,,,,,0.86,0.86,,0.80,0.80,,,,,,,,,
AM Peak Hr,,,,,7:45,7:45,,7:45,7:45,,,,,,,,,
PM Peak Vol,,,,,158,158,,144,144,,,,,,,,,
PM Peak Fct,,,,,0.82,0.82,,0.82,0.82,,,,,,,,,
PM Peak Hr,,,,,14:15,14:15,,16:00,16:00,,,,,,,,,
Seasonal Fct,,,,,0.998,0.998,,0.998,0.998,,,,,,,,,
Daily Fct,,,,,0.854,0.854,,0.868,0.868,,,,,,,,,
Axle Fct,,,,,0.494,0.494,,0.494,0.494,,,,,,,,,
Pulse Fct,,,,,2.000,2.000,,2.000,2.000,,,,,,,,,
